type,Featureid,Longitude,Latitude,FeatureName
Point,24931,50.7033913,26.2497794,Храм Апостола Андрія Первозванного с.Ходоси
Point,5727,50.6906824,29.6423399,Храм апостола и евангелиста Иоанна Богослова
Point,27524,49.104017,27.546371,Храм апостола и евангелиста Иоанна Богослова
Point,5972,50.4946389,30.4612643,Храм апп.Петра и Павла (на Куреневке)
Point,7086,50.469353,30.411655,Храм апп.Петра и Павла (на Нивках)
Point,27493,49.045638,27.745546,Храм Архістратига Божого Михаїла
Point,27517,48.8224273,27.8373791,Храм Архістратига Божого Михаїла
Point,27519,48.970728,27.808437,Храм Архістратига Божого Михаїла
Point,27523,49.018975,27.637451,Храм Архістратига Божого Михаїла
Point,2973,51.2098459,24.7188038,Храм Архангела Михаїла
Point,22332,44.4187067,34.0450369,Храм Архангела Михаила  г.Алупка
Point,33244,48.508698,35.0891463,храм Архистратига Божия Михаила и прочих Небесных Сил бесплотных
Point,1473,46.9158813,37.0976314,Храм Архистратига Михаила
Point,7534,50.532562,30.4422595,Храм архистратига Михаила (при госпитале ГУ МВД)
Point,390,49.012027,28.503867,"Храм Архистратига Михаила,Тульчинская епархия, пгт.Тывров, Украина"
Point,27503,48.981603,27.613484,Храм благовірного князя Олександра Невського
Point,6565,50.8887743,34.8299255,Храм Благоверного великого князя Георгия
Point,6166,50.8946299,34.7777928,Храм Блаженной Ксении Петербургской
Point,6109,50.50205,30.470648,Храм блг.кн.Александра Невского (на Оболони)
Point,8509,47.716527,35.5213643,Храм в честь Архистратига Божия Архангела Михаила
Point,14735,44.6135246,33.5256779,Храм в честь Архистратига Михаила
Point,27117,48.0938732,39.6435972,Храм в честь Введения во храм Пресвятой Богородицы
Point,28082,48.0632466,39.5535096,Храм в честь Всех Святых
Point,28102,48.0185272,39.5941139,Храм в честь Иверской иконы Божией Матери
Point,9748,44.5832987,33.5043461,Храм в честь иконы Божией Матери &quot;Всех скорбящих Радость&quot;
Point,28176,48.1501089,39.5375229,Храм в честь иконы Божией Матери «Живоносный Источник»
Point,28130,48.0740694,39.5567657,Храм в честь Казанской иконы Божией Матери
Point,28112,48.171108,39.5197241,Храм в честь Покрова Пресвятой Богородицы
Point,26374,48.0831243,39.6601448,Храм в честь Почаевской иконы Божией Матери
Point,28272,48.0726318,39.6476959,Храм в честь преподобного Агапита Киево-Печерского
Point,33414,48.0726229,39.6483993,Храм в честь преподобного Стилиана Пафлагонского
Point,32925,47.6856666,34.9974458,ХРАМ В ЧЕСТЬ ПРЕПОДОБНОМУЧЕНИКА АНДРЕЯ КРИТСКОГО&#044; С. МАРЬЕВКА
Point,9010,48.786025,31.629864,Храм в честь пророка Божия Илии
Point,11010,49.4861282,30.6258997,Храм в честь Різдва Богородиці
Point,33329,48.0299838,37.7478333,Храм в честь святителя Иоанна Златоуста
